Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
szeregowy,Zrezygnuj z u¿ywek.,"Œwiatowa Organizacja Zdrowia (WHO) alarmuje, ¿e osoby pal¹ce s¹ bardziej nara¿one na komplikacje zwi¹zane zara¿eniem koronawirusem SARS-CoV-2.", Koronawirus atakuje drogi oddechowe i powoduje ich uszkodzenie.,Dym tytoniowy ma negatywny wp³yw na stan uk³adu oddechowego, U palaczy mog¹ wyst¹piæ ciê¿sze dolegliwoœci zwi¹zane z zara¿eniem koronawirusem.,,,,
szeregowy,Zwiêksz iloœæ ruchu,W redukcji wagi wa¿ny jest tak¿e ruch.,Wed³ug szacunków organizacji World Cancer Research Fund oko³o 20% przypadków nowotworów diagnozowanych w USA ma zwi¹zek z nisk¹ aktywnoœci¹ fizyczn¹ (wysok¹ mas¹ cia³a)i innymi b³êdami w stylu ¿ycia,,,,,,
szeregowy,Nie bój siê szczepionki,"Naukowcy przekonuj¹, ¿e szczepionki s¹ du¿o korzystniejsze dla zdrowia, ni¿ dotychczas s¹dzono.  ","Dziêki nim uk³ad odpornoœciowy zwalcza infekcje o wiele sprawniej ni¿ u osób, które nie zosta³y zaszczepione.",,,,,,
równoleg³y,"Polaku, myj rêce!","Ka¿de dotkniêcie klamki, banknotu czy porêczy w autobusie sprawia, ¿e na nasze rêce dostaje siê od 100 do 10 tys. komórek drobnoustrojów. ","Badania naukowców z Uniwersytetu Michigan udowodni³y, ¿e mycie r¹k wod¹ z myd³em przez 15 sekund redukuje liczbê groŸnych bakterii o 90 proc.","Œwiatowa Organizacja Zdrowia szacuje, ¿e 69 proc. zaka¿eñ przewodu pokarmowego to efekt niemycia r¹k ",,,,,
szeregowy,Szczepienia s¹ bezpieczne,Wœród Polaków szczepienie przeciwko koronawirusowi wci¹¿ budzi spore emocje.,"W¹tpliwoœci budzi przede wszystkim bezpieczeñstwo szczepionki – zarówno tej, jak i innych znajduj¹cych siê w kalendarzu szczepieñ dziecka – które niestety przez wiele osób jest regularnie podwa¿ane","Przedstawiciele rz¹du przypominaj¹ jednak, ¿e ka¿da szczepionka dopuszczona do obrotu w Polsce przechodzi staranne badania.", ,,,,
równoleg³y,Dlatego szczepmy siê.,"Eksperci niejednokrotnie przekonywali, ¿e szczepi¹c siê zapewniamy bezpieczeñstwo nie tylko sobie.","Wirus nie patrzy na wiek, ka¿dy mo¿e siê zaraziæ. A osoby zaszczepione wed³ug danych ³agodniej przechodz¹ ewentualne zaka¿enie wirusem SARS-CoV-2. [komentarz: ten fragment mo¿na uznaæ za dwie przes³anki szeregowe; wtedy, ¿eby argumentacja nie by³a mieszana mo¿na z nich zrezygnowaæ]","To takie proste. Przychodzisz, szczepisz siê i wracasz do domu.", ,,,,
równoleg³y,"Zaszczepmy siê, pomó¿my wróciæ do normalnoœci.","Jedynie zaszczepienie mo¿e przyczyniæ siê zminimalizowania, a docelowo wygaszenia epidemii wirusa.","Szczepi¹c siê, sami mo¿emy zdecydowaæ czy na jesieñ bêdziemy mieli kolejne ograniczenia np. zamkniête sklepy, us³ugi, noszenie maseczek, nauczanie online, zamkniête przychodnie zdrowia i szpitale.","Jak pokazuj¹ badania, w tej chwili umiera na COVID-19 98,9 %  osób niezaszczepionych, a tylko 1,1 %. tych, które siê zaszczepi³y. ","Eksperci przewiduj¹, ¿e je¿eli poziom zaszczepieñ nie bêdzie wystarczaj¹cy to liczba zaka¿eñ w czwartej fali osi¹gnie poziom do oko³o 15 tys. dziennie.", ,,,
równoleg³y,Zaszczep siê tak szybko jak to mo¿liwe.,"Lekarze podkreœlaj¹, ¿e widoczna jest bardzo wyraŸna tendencja do ciê¿kiego przebiegu COVID-19 (w tym koniecznoœci leczenia z u¿yciem ró¿nych metod wspomagania oddychania) u osób niezaszczepionych.","Aby chroniæ siebie i wszystkich, których kochasz, wa¿ne jest, aby jak najszybciej otrzymaæ szczepionki i dawkê przypominaj¹c¹.", ,,,,,
szeregowy,Szczepi¹c siê na COVID-19 unikamy d³ugotrwa³ych powik³añ.,"Naukowcy zgadzaj¹ siê, ¿e znacznie bezpieczniej jest siê zaszczepiæ, ni¿ ryzykowaæ zaka¿enie koronawirusem, które mo¿e mieæ bardzo nieprzyjemne skutki d³ugoterminowe. ","Lipcowy raport CDC stwierdza, ¿e oko³o jedna trzecia ankietowanych chorych nie wyzdrowia³a w ci¹gu dwóch lub trzech tygodni. ","Wiele osób toczy wielomiesiêczn¹ walkê ze zmêczeniem, bólami miêœni, trudnoœciami w oddychaniu, ko³ataniem serca lub zaburzeniami snu. ", ,,,,
szeregowy,Zaszczep siê!,"Lekarze podkreœlaj¹, ¿e widoczna jest bardzo wyraŸna tendencja do ciê¿kiego przebiegu COVID-19 (w tym koniecznoœci leczenia z u¿yciem ró¿nych metod wspomagania oddychania) u osób niezaszczepionych.","Niestety bardzo wiele osób niezaszczepionych przegrywa walkê z COVID-19, a przecie¿ nie musi tak byæ.",Nie ryzykuj  , ,,,,
