Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
,Rzuæ palenie,Ka¿dy rok palenia skraca ¿ycie o prawie trzy miesi¹ce.,,,,,,,
szeregowy,Szczepmy siê,"Mamy teraz do czynienia z koronawirusem typu delta, którego nie znaliœmy na pocz¹tku pandemii","[koronawirus typu delta] to wyj¹tkowo zakaŸna odmiana i osoby, które nie s¹ zaszczepione nara¿aj¹ siê na wyj¹tkowo ciê¿ki przebieg choroby",Teraz mamy w Polsce ju¿ szeœæ tysiêcy zaka¿eñ dziennie,W województwie lubelskim szpitale s¹ ju¿ na granicach wydolnoœci,,,,
szeregowy,"Unikaj dotykania oczu, nosa i ust","D³onie dotykaj¹ wielu powierzchni, które mog¹ byæ ska¿one wirusem.","Jeœli dotkniesz oczu, nosa lub ust zanieczyszczonymi rêkami, mo¿esz przenieœæ wirusa z powierzchni na siebie.",,,,,,
równoleg³y,B¹d¿ aktywny fizycznie i zdrowo siê od¿ywiaj,Regularna aktywnoœæ fizyczna jest kluczem do utrzymania naszego organizmu w zdrowiu.,"Nawet 3-godzinny spacer raz w tygodniu, zmniejsza umieralnoœæ o ok. 25-47\% oraz zmniejsza ryzyko choroby niedokrwiennej serca o ok. 30-50\%.",Wysi³ek fizyczny odgrywa istotn¹ rolê w zapobieganiu chorobom degeneracyjnym mózgu,Brak aktywnoœci fizycznej wi¹¿e siê z gorsz¹ jakoœci¹ ¿ycia oraz negatywnie wp³ywa na stan zdrowia.,Nieodpowiednia dieta oraz brak aktywnoœci fizycznej s¹ jedn¹ z przyczyn przedwczesnych zgonów,,,
równoleg³y,Noœ maskê.,Os³anianie twarzy chroni Ciebie i innych.,Maska zatrzymuje rozprzestrzenianie siê wirusa,Maska zmniejsza ryzyko infekcji o 75%,,,,,
szeregowy,Zrezygnuj z u¿ywek.,"Œwiatowa Organizacja Zdrowia (WHO) alarmuje, ¿e osoby pal¹ce s¹ bardziej nara¿one na komplikacje zwi¹zane zara¿eniem koronawirusem SARS-CoV-2.", Koronawirus atakuje drogi oddechowe i powoduje ich uszkodzenie.,Dym tytoniowy ma negatywny wp³yw na stan uk³adu oddechowego, U palaczy mog¹ wyst¹piæ ciê¿sze dolegliwoœci zwi¹zane z zara¿eniem koronawirusem.,,,,
,Zbadaj piersi,Powinnaœ co dwa lata badaæ swoje piersi.,Znowu w trasê ruszy³y mammobusy i dostêp do badañ jest teraz ³atwiejszy,Zbyt póŸno wykryty rak piersi zabija,,,,,
równoleg³y,Zostañ dawc¹ szpiku,Procedura pobierania szpiku nie boli i nie jest skomplikowana.,Dziêki dawcy biorca mo¿e wyzdrowieæ., Dziêki dawcy umieraj¹cy biorca dostaje szansê na wiêcej czasu spêdzonego z rodzin¹.,Donacja pozytywnie zmienia pogl¹d na œwiat biorcy i jest Ÿród³em dobrych emocji.,,,,
równoleg³y,Wykonuj rutynowe badania,"Czerniak to jeden z rzadziej wystêpuj¹cych, ale przy tym najbardziej niebezpieczny nowotwór skóry.",Powodzenie terapii zale¿y przede wszystkim od szybkiej diagnozy i wdro¿enia skutecznego leczenia.,,,,,,
szeregowy,Zwiêksz iloœæ ruchu,W redukcji wagi wa¿ny jest tak¿e ruch.,Wed³ug szacunków organizacji World Cancer Research Fund oko³o 20% przypadków nowotworów diagnozowanych w USA ma zwi¹zek z nisk¹ aktywnoœci¹ fizyczn¹ (wysok¹ mas¹ cia³a)i innymi b³êdami w stylu ¿ycia,,,,,,
szeregowy,Rzuæ palenie,G³ówna przyczyna wystêpowania ró¿nego rodzaju nowotworów, Jeden papieros zawiera (...) nawet 70 substancji rakotwórczych,,,,,,
szeregowy,Zmieñ swoje nawyki na zdrowsze., Gdyby ludzie wczeœniej decydowali siê na zmianê swojego niezdrowego stylu ¿ycia,,,,,,,
szeregowy,Zaszczep siê przeciwko COVID-19.,Przeszliœmy ju¿ tak wiele [podczas pandemii],,,,,,,
równoleg³y,Regularnie badaj swoje piersi.,Czas gra tutaj ogromn¹ rolê.,Nowotwór wczeœnie rozpoznany daje szansê na ca³kowite wyleczenie.,,,,,,
równoleg³y,Myj i dezynfekuj rêce.,"Higiena r¹k jest jednym z najskuteczniejszych dzia³añ ograniczaj¹cych rozprzestrzenianie siê patogenów i zapobiegaj¹cych infekcjom, w tym zaka¿eniom wirusem COVID-19",Mycie i dezynfekcja r¹k przyczyniaj¹ siê do poprawy bezpieczeñstwa opieki nad pacjentami.,Mycie i dezynfekcja r¹k zapobiegaj¹ zaka¿eniom na ró¿ne groŸne choroby zakaŸne.,,,,,
równoleg³y,Spoæ siê,"pot to zdrowy objaw, towarzysz¹cy aktywnoœci","[pot] oznacza, ¿e zrobiliœmy coœ dobrego dla naszego organizmu",,,,,,
szeregowy,Utrzymuj wagê cia³a w normie,Nadwaga prowadzi miêdzy innymi do zaburzeñ gospodarki lipidowej - podwy¿szonego poziomu trójglicerydów i obni¿enia poziomu dobrego cholesterolu HDL,"[zaburzenia gospodarki lipidowej] zwiêkszaj¹ ryzyko chorób uk³adu kr¹¿enia, w tym udaru",,,,,,
równoleg³y,"Nigdy, przenigdy nie dajemy innym osobom leków przeznaczonych dla nas",On [lek] jest bezpieczny dla nas,ka¿dy pacjent ma inn¹ historiê,tylko medyk jest w stanie oceniæ co i w jakich dawkach nale¿y przyjmowaæ,,,,,
równoleg³y,Oddychaj przez nos,"Wdychane powietrze, zostaje w naturalny sposób nawil¿one i oczyszczone w nosie","W trakcie mówienia bardzo szybko pobieramy powietrze ustami, przez co pomijamy drogê naturalnej ochrony, wysuszaj¹c œluzówkê",Konsekwencj¹ [oddychania przez usta] jest wiêksza podatnoœæ na ró¿nego rodzaju infekcje górnych dróg oddechowych,,,,,
szeregowy,Nie pij s³odkich napojów po wieczornym myciu zêbów,"Soki owocowe zawieraj¹ cukry proste, które s¹ doskona³¹ po¿ywk¹ dla bakterii","Bakterie, które rozwijaj¹ siê na powierzchni zêbów i dzi¹se³, prowadz¹ do rozwoju próchnicy",,,,,,
równoleg³y,Wykonuj regularnie morfologiê krwi.,Morfologia jest tania i ³atwo dostêpna.,Badanie to dostarcza bardzo wielu cennych informacji o stanie organizmu.,Morfologia umo¿liwia naprowadzenie diagnostyki na w³aœciwe tory.,Dziêki badaniu lekarz jest w stanie oceniæ skutki zastosowanego leczenia.,,,,
równoleg³y,Zaszczep siê przeciwko COVID-19.,Szczepi¹c siê chronisz siebie i swoich bliskich.,Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zaka¿eniem.,Ludzkoœæ z powodzeniem korzysta ze szczepionek od kilkuset lat.,,,,,
